40.0883549,-75.3821004,EMS: ABDOMINAL PAINS,2016-01-15 12:01,UPPER MERION,DEKALB PIKE & ALLENDALE RD
40.1224422,-75.3383233,EMS: FALL VICTIM,2016-01-15 12:01,NORRISTOWN,POWELL ST & E SPRUCE ST
40.0194893,-75.3193691,EMS: FALL VICTIM,2016-01-15 12:06,LOWER MERION,BRYN MAWR AVE & OLD LANCASTER RD
40.1130061,-75.3257222,Fire: UNKNOWN TYPE FIRE,2016-01-15 12:06,NORRISTOWN,SANDY ST & KELLY DR
40.2518845,-75.6528626,EMS: CVA/STROKE,2016-01-15 12:07,POTTSTOWN,3RD ST & JOHNSON ST
40.1979468,-75.5338527,EMS: CARDIAC EMERGENCY,2016-01-15 12:08,LIMERICK,FOXMEADOW DR & FOXCROFT CIR
40.3273291,-75.6481591,EMS: RESPIRATORY EMERGENCY,2016-01-15 12:08,BERKS COUNTY,READING AVE & INDIAN SPRING RD
40.2253209,-75.5153878,Traffic: VEHICLE ACCIDENT -,2016-01-15 12:08,LIMERICK,W RIDGE PIKE & SUNSET RD
40.2237857,-75.5141188,Traffic: VEHICLE ACCIDENT -,2016-01-15 12:08,LIMERICK,RIDGE PIKE & SUNNY BROOK RD
40.1515386,-75.1239911,EMS: RESPIRATORY EMERGENCY,2016-01-15 12:13,UPPER MORELAND,LAWNTON RD & TERRACE RD
40.2388477,-75.6155117,EMS: RESPIRATORY EMERGENCY,2016-01-15 12:15,LOWER POTTSGROVE,MEDICAL DR & ARMAND HAMMER BLVD
40.1228913,-75.0641492,Traffic: VEHICLE ACCIDENT -,2016-01-15 12:16,LOWER MORELAND,HUNTINGDON PIKE & WYNKOOP AVE
40.1648791,-75.4482428,Fire: FIRE ALARM,2016-01-15 12:19,LOWER PROVIDENCE,LEVEL RD & LEWIS RD
40.0909145,-75.2070697,EMS: CHOKING,2016-01-15 12:21,SPRINGFIELD,PAPER MILL RD & SKYLINE DR
40.0789764,-75.1525161,EMS: GENERAL WEAKNESS,2016-01-15 12:21,CHELTENHAM,CLEMENTS RD & MELLON RD
40.2432578,-75.2865516,EMS: NAUSEA/VOMITING,2016-01-15 12:24,LANSDALE,MAIN ST & SUSQUEHANNA AVE
40.035042,-75.259079,EMS: DIZZINESS,2016-01-15 12:27,LOWER MERION,HAGYS FORD RD & BOBARN DR
40.2414863,-75.5327685,EMS: RESPIRATORY EMERGENCY,2016-01-15 12:34,LIMERICK,FAWN CT & DEER RUN CT
40.1033767,-75.4124499,EMS: UNKNOWN MEDICAL EMERGENCY,2016-01-15 12:36,UPPER MERION,VALLEY FORGE CIR & OLD VALLEY FORGE RD
40.1421443,-75.0912144,Traffic: VEHICLE ACCIDENT -,2016-01-15 12:41,UPPER MORELAND,EDGEHILL RD & TERWOOD RD
40.2197467,-75.6384348,Traffic: VEHICLE ACCIDENT -,2016-01-15 12:41,CHESTER COUNTY,MILLER RD & E CEDARVILLE RD
40.2674901,-75.3763943,EMS: HEAD INJURY,2016-01-15 12:48,LOWER SALFORD,MAIN ST & CLEMENS RD
40.1228913,-75.0641492,Traffic: VEHICLE ACCIDENT -,2016-01-15 12:53,LOWER MORELAND,HUNTINGDON PIKE & WYNKOOP AVE
40.1580254,-75.2992999,Traffic: VEHICLE ACCIDENT -,2016-01-15 13:01,WHITPAIN,JOLLY RD & DEKALB PIKE
40.1326363,-75.378327,Fire: GAS-ODOR/LEAK,2016-01-15 13:03,WEST NORRITON,EGYPT RD & W MAIN ST
40.1077086,-75.2136339,Traffic: VEHICLE ACCIDENT -,2016-01-15 13:04,SPRINGFIELD,BETHLEHEM PIKE & E MILL RD
40.1224422,-75.3383233,EMS: FALL VICTIM,2016-01-15 13:08,NORRISTOWN,POWELL ST & E SPRUCE ST
40.0811951,-75.1332615,EMS: VEHICLE ACCIDENT,2016-01-15 13:09,CHELTENHAM,W CHURCH RD
40.0837614,-75.1422046,Traffic: VEHICLE ACCIDENT -,2016-01-15 13:09,CHELTENHAM,W CHURCH RD & WASHINGTON LN
40.0835548,-75.1409996,Traffic: VEHICLE ACCIDENT -,2016-01-15 13:09,CHELTENHAM,W CHURCH RD & GREEN LN
